Profielnaam;X_Maaiveld binnenwaarts;Y_Maaiveld binnenwaarts;Z_Maaiveld binnenwaarts;X_Insteek sloot polderzijde;Y_Insteek sloot polderzijde;Z_Insteek sloot polderzijde;X_Slootbodem polderzijde;Y_Slootbodem polderzijde;Z_Slootbodem polderzijde;X_Slootbodem dijkzijde;Y_Slootbodem dijkzijde;Z_Slootbodem dijkzijde;X_Insteek sloot dijkzijde;Y_Insteek_sloot dijkzijde;Z_Insteek sloot dijkzijde;X_Teen dijk binnenwaarts;Y_Teen dijk binnenwaarts;Z_Teen dijk binnenwaarts;X_Kruin binnenberm;Y_Kruin binnenberm;Z_Kruin binnenberm;X_Insteek binnenberm;Y_Insteek binnenberm;Z_Insteek binnenberm;X_Kruin binnentalud;Y_Kruin binnentalud;Z_Kruin binnentalud;X_Verkeersbelasting kant binnenwaarts;Y_Verkeersbelasting kant binnenwaarts;Z_Verkeersbelasting kant binnenwaarts;X_Verkeersbelasting kant buitenwaarts;Y_Verkeersbelasting kant buitenwaarts;Z_Verkeersbelasting kant buitenwaarts;X_Kruin buitentalud;Y_Kruin buitentalud;Z_Kruin buitentalud;X_Insteek buitenberm;Y_Insteek buitenberm;Z_Insteek buitenberm;X_Kruin buitenberm;Y_Kruin buitenberm;Z_Kruin buitenberm;X_Teen dijk buitenwaarts;Y_Teen dijk buitenwaarts;Z_Teen dijk buitenwaarts;X_Insteek geul;Y_Insteek geul;Z_Insteek geul;X_Teen geul;Y_Teen geul;Z_Teen geul;X_Maaiveld buitenwaarts;Y_Maaiveld buitenwaarts;Z_Maaiveld buitenwaarts;;;;
083_042_00022;74.215;0;-2.62;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;40.665;0;-1.93;-1;-1;-1;-1;-1;-1;22.375;0;0.06;22.375;0;0.06;19.875;0;-0.156;20.645;0;0.05;-1;-1;-1;-1;-1;-1;6.445;0;-4.1;-1;-1;-1;-1;-1;-1;0;0;-4.102;;;;
083_042_00023;60;0;-5.1;51.682;0;-5.1;51.682;0;-5.1;51.682;0;-5.1;50;0;-3.169;50;0;-3.169;-1;-1;-1;-1;-1;-1;28.42;0;-0.29;27.41;0;-0.26;24.91;0;-0.276;20.5;0;-0.06;-1;-1;-1;-1;-1;-1;10;0;-4.3;-1;-1;-1;-1;-1;-1;0;0;-4.3;;;;
095_042_00003;41.15;0;-1.63;30.28;0;-2.04;29.59;0;-2.73;28.55;0;-2.92;26.82;0;-2.02;26.57;0;-1.85;-1;-1;-1;-1;-1;-1;21.82;0;-0.45;20.73;0;-0.3;18.23;0;-0.309;15.41;0;-0.34;14.79;0;-1.4;14.132;0;-1.714;13.694;0;-2.472;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
095_042_00012;39.608;0;-2.6;36.386;0;-2.6;36.386;0;-2.6;30.959;0;-2.6;29.602;0;-1.465;28.245;0;-1.465;-1;-1;-1;-1;-1;-1;14.031;0;-0.37;14.031;0;-0.37;11.531;0;-0.226;11.304;0;-0.295;-1;-1;-1;-1;-1;-1;4.58;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
095_042_00013;39.608;0;-2.6;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;-1;30.959;0;-2.6;29.602;0;-1.465;20.104;0;-1.112;14.031;0;-0.37;14.031;0;-0.37;11.531;0;-0.226;11.304;0;-0.295;10.451;0;-1.157;9.464;0;-1.348;6.977;0;-2.474;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
095_042_00014;75;0;-2.6;69.147;0;-2.6;69.147;0;-2.6;69.147;0;-2.6;67.341;0;-0.794;20.374;0;-0.921;-1;-1;-1;-1;-1;-1;16.081;0;-0.324;16.081;0;-0.324;13.581;0;-0.556;13.935;0;-0.32;-1;-1;-1;-1;-1;-1;11.715;0;-1.8;-1;-1;-1;-1;-1;-1;0;0;-1.8;;;;
095_042_00015;41.15;0;-1.63;31.49;0;-1.6;29.59;0;-2.73;27.09;0;-2.56;26.57;0;-1.85;26.22;0;-1.76;-1;-1;-1;-1;-1;-1;20.73;0;-0.3;20.194;0;-0.302;17.694;0;-0.311;15.41;0;-0.34;-1;-1;-1;-1;-1;-1;13.694;0;-2.472;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
095_042_00016;41.06;0;-1.74;31.9;0;-1.68;29.79;0;-2.78;26.61;0;-2.94;24.977;0;-1.622;24.977;0;-1.622;-1;-1;-1;-1;-1;-1;20.69;0;-0.55;20.69;0;-0.55;18.19;0;-0.65;15;0;-0.35;-1;-1;-1;-1;-1;-1;9.32;0;-3;-1;-1;-1;-1;-1;-1;0;0;-3;;;;
095_042_00017;56.966;0;-1.765;44.643;0;-1.748;42.589;0;-3;26.158;0;-3;23.815;0;-1.8;13.834;0;-1.116;-1;-1;-1;-1;-1;-1;11.78;0;-0.265;11.78;0;-0.265;9.28;0;-0.558;9.726;0;-0.206;-1;-1;-1;-1;-1;-1;7.668;0;-3.183;-1;-1;-1;-1;-1;-1;0;0;-3.425;;;;
095_042_00018;61.768;0;-1.775;51.505;0;-1.849;49.452;0;-3.14;43.294;0;-3.14;41.242;0;-1.637;18.662;0;-1.075;-1;-1;-1;-1;-1;-1;16.61;0;-0.407;16.61;0;-0.407;14.11;0;-0.317;14.11;0;-0.317;-1;-1;-1;-1;-1;-1;12.431;0;-3.158;-1;-1;-1;-1;-1;-1;0;0;-3.523;;;;
